corrected,og_name,count,
SEA COAST TERRACE,SEA COASTTERRACE,2,
SEA BREEZE AVENUE,SEABREEZE AVENUE,5,
SEABRING ST,SEABRING ST,6,
SEIGEL COURT,SEIGAL COURT,1,
SEIGEL ST,SEIGAL ST,9,
SHEEPSHEAD BAY ROAD,SHEEPSHEAD BAY,6,
SHORE ROAD LANE,SHORE ROAD LANE,4,
SHEFFIELD AVENUE,SHRFFIELD AVENUE,1,
SUMPTER ST,SIMPTER ST,1,
SKIDMORE LANE,SKIDMORE LANE,3,
SMITHS LANE,SMITHS LANE,2,
SNEDIKER AVENUE,SNEDDIKER AVENUE,1,
SNEDIKER AVENUE,SNEDIKER ST,3,
SNEDIKER AVENUE,SNEDKER AVENUE,2,
SNEDIKER AVENUE,SNEIDER AVENUE,2,
SNEDIKER AVENUE,SNENIKER AVENUE,1,
SNYDER AVENUE,SNYDER AVERNUE,1,
SNYDER AVENUE,SNYDER AVEUE,1,
SNYDER AVENUE,SNYDER AVNEUE,1,
SNYDER AVENUE,SNYDER ST,2,
SNYDER AVENUE,SNYIDER AVENUE,1,
SOMERS ST,SOMER ST,2,
SOMERS ST,SOMERE ST,1,
SOMERS ST,SOMERS AVENUE,1,
SOMERS ST,SOMMER AVENUE,1,
SOUTH 3 ST,SOUTH 3 ROAD ST,1,
SOUTH CONDUIT BLVD,SOUTH CONDUIT AVENUE,1,
SOUTH CONDUIT BLVD,SOUTH CONDUIT BLVD,4,
SOUTH ELLIOTT PL,SOUTH ELLIOTT ST,1,
SOUTHGATE COURT,SOUTH GATE COURT,4,
SOUTH PORTLAND AVENUE,SOUTH PORLAND AVENUE,1,
SOUTH PORTLAND AVENUE,SOUTH PORTLAND,1,
SOUTH PORTLAND AVENUE,SOUTH PORTLAND AVE,1,
SOUTH PORTLAND AVENUE,SOUTH PORTLAND AVEUE,1,
SAINT JAMES PL,ST JAMES PL,1,
SAINT JOHNS AVENUE,ST JOHNS PL,2,
SAINT MARKS AVENUE,ST MARKS AVENUE,3,
SAINT ANDREWS PL,STANDREWS PL,7,
STOCKHOLM ST,STCKHOLM,1,
SAINT EDWARD ST,STEDWARD ST,7,
SAINT JUDES PL,STJUDES PL,1,
STILLWELL AVENUE,STLLWELL AVE,1,
STILLWELL PL,STLLWELLS PL,7,
SAINT MARKS AVENUE,STMARKS AVE,1,
STANLEY AVENUE,STNLEY AVE,2,
STINTON ROAD,STNTON ROAD,5,
SUMNER PL,SUMNER PL,5,
SUNNYSIDE AVENUE,SUNNYSIDE AVE,1,
SUTTER AVENUE,SUTTER AVE,1,
